Party,Latest poll,2024 general election,Change
Con,16.05,24,-7.9
Lab,8.2,35,-26.8
LDem,7.33,13,-5.7
Grn,9.44,7,+2.4
Reform,22.67,15,+7.7
Other,36.3,6,+30.3
