Portrait,Party,Latest %,vs 2m,vs 6m
,Con,22.1,+0.9,+6.5
,Lab,18.7,+1.2,+6.6
,LDem,7.3,+0.2,+1.3
,Grn,15.7,+0.8,+1.3
,Reform,17.5,+0.0,+0.0
