Portrait,Party,Latest %,vs 2m,vs 6m
,Con,22.2,+0.4,+9.1
,Lab,24.0,+0.8,+16.9
,LDem,6.0,+0.0,+2.0
,Grn,12.1,+0.7,+9.1
,Reform,17.0,,+0.0
