date,Con (pre-2024 election),Con (pre-2024 election) (low),Con (pre-2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (pre-2024 election),Lab (pre-2024 election) (low),Lab (pre-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (pre-2024 election),LDem (pre-2024 election) (low),LDem (pre-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (pre-2024 election),Ukip (pre-2024 election) (low),Ukip (pre-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),Reform (poll)
2019-08-11,32.98,29.54,37.19,,,,14.68,11.37,18.68,,,,6.06,3.04,9.47,,,,2.0,-0.95,4.75,,,,,,,,,,33.0,16.0,8.0,3.0,,
2019-08-12,33.0,29.56,37.21,,,,14.69,11.38,18.69,,,,6.05,3.03,9.45,,,,2.0,-0.95,4.75,,,,,,,,,,,,,,,
2019-08-13,33.01,29.58,37.23,,,,14.7,11.4,18.68,,,,6.03,3.01,9.44,,,,1.99,-0.94,4.75,,,,,,,,,,,,,,,
2019-08-14,33.03,29.6,37.25,,,,14.71,11.41,18.66,,,,6.02,3.0,9.42,,,,1.99,-0.94,4.73,,,,,,,,,,,,,,,
2019-08-15,33.05,29.62,37.28,,,,14.71,11.43,18.64,,,,6.01,2.99,9.41,,,,1.98,-0.93,4.72,,,,,,,,,,,,,,,
2019-08-16,33.07,29.64,37.27,,,,14.72,11.45,18.63,,,,6.0,2.99,9.39,,,,1.98,-0.93,4.71,,,,,,,,,,,,,,,
2019-08-17,33.09,29.66,37.25,,,,14.73,11.45,18.61,,,,5.99,2.99,9.38,,,,1.98,-0.93,4.69,,,,,,,,,,,,,,,
2019-08-18,33.1,29.68,37.24,,,,14.74,11.46,18.59,,,,5.98,3.0,9.36,,,,1.97,-0.92,4.69,,,,,,,,,,,,,,,
2019-08-19,33.12,29.71,37.22,,,,14.75,11.47,18.58,,,,5.97,3.03,9.35,,,,1.97,-0.92,4.69,,,,,,,,,,,,,,,
2019-08-20,33.14,29.73,37.2,,,,14.75,11.48,18.56,,,,5.96,3.04,9.33,,,,1.97,-0.92,4.69,,,,,,,,,,,,,,,
2019-08-21,33.16,29.74,37.21,,,,14.76,11.48,18.54,,,,5.94,3.03,9.32,,,,1.96,-0.91,4.69,,,,,,,,,,,,,,,
2019-08-22,33.17,29.76,37.22,,,,14.77,11.49,18.52,,,,5.93,3.02,9.31,,,,1.96,-0.9,4.7,,,,,,,,,,,,,,,
2019-08-23,33.19,29.78,37.23,,,,14.78,11.53,18.51,,,,5.92,3.01,9.29,,,,1.96,-0.89,4.7,,,,,,,,,,,,,,,
2019-08-24,33.21,29.8,37.24,,,,14.78,11.56,18.49,,,,5.91,3.01,9.28,,,,1.95,-0.88,4.7,,,,,,,,,,,,,,,
2019-08-25,33.23,29.82,37.25,,,,14.79,11.58,18.47,,,,5.9,3.0,9.27,,,,1.95,-0.87,4.66,,,,,,,,,,,,,,,
2019-08-26,33.24,29.84,37.25,,,,14.8,11.59,18.45,,,,5.89,2.99,9.26,,,,1.94,-0.86,4.59,,,,,,,,,,,,,,,
2019-08-27,33.26,29.85,37.25,,,,14.8,11.6,18.42,,,,5.88,2.99,9.24,,,,1.94,-0.86,4.58,,,,,,,,,,,,,,,
2019-08-28,33.28,29.87,37.24,,,,14.81,11.61,18.35,,,,5.87,2.98,9.23,,,,1.94,-0.85,4.58,,,,,,,,,,,,,,,
2019-08-29,33.3,29.9,37.24,,,,14.82,11.62,18.34,,,,5.85,2.97,9.22,,,,1.93,-0.85,4.56,,,,,,,,,,,,,,,
2019-08-30,33.32,29.93,37.24,,,,14.82,11.63,18.32,,,,5.84,2.96,9.21,,,,1.93,-0.84,4.56,,,,,,,,,,,,,,,
2019-08-31,33.33,29.95,37.23,,,,14.83,11.65,18.3,,,,5.83,2.95,9.19,,,,1.93,-0.84,4.55,,,,,,,,,,,,,,,
2019-09-01,33.35,29.97,37.23,,,,14.84,11.66,18.28,,,,5.82,2.94,9.18,,,,1.92,-0.83,4.52,,,,,,,,,,,,,,,
2019-09-02,33.37,29.99,37.23,,,,14.84,11.68,18.27,,,,5.81,2.94,9.17,,,,1.92,-0.83,4.48,,,,,,,,,,,,,,,
2019-09-03,33.39,30.01,37.23,,,,14.85,11.69,18.25,,,,5.8,2.93,9.16,,,,1.92,-0.82,4.45,,,,,,,,,,,,,,,
2019-09-04,33.4,30.04,37.22,,,,14.85,11.7,18.23,,,,5.79,2.93,9.15,,,,1.91,-0.82,4.42,,,,,,,,,,,,,,,
2019-09-05,33.42,30.06,37.22,,,,14.86,11.71,18.22,,,,5.78,2.92,9.14,,,,1.91,-0.81,4.38,,,,,,,,,,,,,,,
2019-09-06,33.44,30.08,37.22,,,,14.87,11.71,18.2,,,,5.77,2.92,9.13,,,,1.91,-0.81,4.35,,,,,,,,,,,,,,,
2019-09-07,33.46,30.1,37.22,,,,14.87,11.71,18.18,,,,5.76,2.91,9.11,,,,1.9,-0.81,4.33,,,,,,,,,,,,,,,
2019-09-08,33.47,30.12,37.25,,,,14.88,11.71,18.16,,,,5.75,2.91,9.1,,,,1.9,-0.8,4.31,,,,,,,,,,,,,,,
2019-09-09,33.49,30.15,37.25,,,,14.88,11.7,18.15,,,,5.74,2.89,9.09,,,,1.9,-0.8,4.29,,,,,,,,,,30.0,11.0,7.0,2.0,,
2019-09-10,33.51,30.17,37.24,,,,14.89,11.69,18.14,,,,5.73,2.89,9.09,,,,1.89,-0.79,4.29,,,,,,,,,,,,,,,
2019-09-11,33.53,30.19,37.23,,,,14.89,11.67,18.14,,,,5.71,2.89,9.08,,,,1.89,-0.79,4.29,,,,,,,,,,,,,,,
2019-09-12,33.55,30.2,37.23,,,,14.9,11.67,18.13,,,,5.7,2.88,9.07,,,,1.89,-0.78,4.29,,,,,,,,,,,,,,,
2019-09-13,33.56,30.22,37.22,,,,14.9,11.68,18.12,,,,5.69,2.88,9.06,,,,1.88,-0.78,4.29,,,,,,,,,,,,,,,
2019-09-14,33.58,30.25,37.21,,,,14.9,11.69,18.12,,,,5.68,2.87,9.05,,,,1.88,-0.79,4.29,,,,,,,,,,,,,,,
2019-09-15,33.6,30.28,37.2,,,,14.91,11.7,18.11,,,,5.67,2.87,9.05,,,,1.88,-0.8,4.29,,,,,,,,,,,,,,,
2019-09-16,33.62,30.3,37.2,,,,14.91,11.71,18.12,,,,5.66,2.87,9.04,,,,1.87,-0.79,4.29,,,,,,,,,,,,,,,
2019-09-17,33.64,30.32,37.19,,,,14.92,11.7,18.13,,,,5.65,2.85,9.03,,,,1.87,-0.79,4.29,,,,,,,,,,,,,,,
2019-09-18,33.65,30.34,37.18,,,,14.92,11.7,18.13,,,,5.64,2.83,9.02,,,,1.87,-0.78,4.29,,,,,,,,,,,,,,,
2019-09-19,33.67,30.36,37.18,,,,14.93,11.7,18.11,,,,5.63,2.8,9.01,,,,1.86,-0.78,4.29,,,,,,,,,,,,,,,
2019-09-20,33.69,30.38,37.18,,,,14.93,11.7,18.1,,,,5.62,2.78,9.0,,,,1.86,-0.77,4.29,,,,,,,,,,,,,,,
2019-09-21,33.71,30.41,37.17,,,,14.93,11.7,18.09,,,,5.61,2.76,8.98,,,,1.86,-0.77,4.29,,,,,,,,,,,,,,,
2019-09-22,33.73,30.43,37.17,,,,14.94,11.7,18.08,,,,5.6,2.74,8.97,,,,1.86,-0.76,4.29,,,,,,,,,,,,,,,
2019-09-23,33.75,30.5,37.17,,,,14.94,11.69,18.07,,,,5.59,2.72,8.95,,,,1.85,-0.76,4.29,,,,,,,,,,,,,,,
2019-09-24,33.76,30.55,37.17,,,,14.94,11.7,18.06,,,,5.58,2.71,8.94,,,,1.85,-0.75,4.29,,,,,,,,,,,,,,,
2019-09-25,33.78,30.58,37.16,,,,14.95,11.7,18.06,,,,5.57,2.69,8.93,,,,1.85,-0.76,4.29,,,,,,,,,,,,,,,
2019-09-26,33.8,30.61,37.16,,,,14.95,11.7,18.05,,,,5.56,2.68,8.91,,,,1.84,-0.76,4.29,,,,,,,,,,,,,,,
2019-09-27,33.82,30.64,37.16,,,,14.95,11.7,18.04,,,,5.55,2.66,8.89,,,,1.84,-0.76,4.29,,,,,,,,,,,,,,,
2019-09-28,33.84,30.67,37.16,,,,14.95,11.71,18.02,,,,5.54,2.64,8.87,,,,1.84,-0.76,4.29,,,,,,,,,,,,,,,
2019-09-29,33.86,30.7,37.16,,,,14.96,11.74,18.02,,,,5.53,2.63,8.85,,,,1.83,-0.76,4.29,,,,,,,,,,,,,,,
2019-09-30,33.88,30.73,37.16,,,,14.96,11.77,18.01,,,,5.52,2.61,8.84,,,,1.83,-0.76,4.29,,,,,,,,,,,,,,,
2019-10-01,33.89,30.77,37.16,,,,14.96,11.79,18.01,,,,5.51,2.6,8.82,,,,1.83,-0.77,4.29,,,,,,,,,,,,,,,
2019-10-02,33.91,30.8,37.16,,,,14.96,11.82,18.0,,,,5.5,2.58,8.81,,,,1.83,-0.77,4.29,,,,,,,,,,,,,,,
2019-10-03,33.93,30.83,37.16,,,,14.97,11.84,17.97,,,,5.49,2.57,8.79,,,,1.82,-0.76,4.28,,,,,,,,,,,,,,,
2019-10-04,33.95,30.83,37.19,,,,14.97,11.84,17.96,,,,5.48,2.55,8.78,,,,1.82,-0.76,4.28,,,,,,,,,,,,,,,
2019-10-05,33.97,30.84,37.21,,,,14.97,11.83,17.95,,,,5.47,2.54,8.76,,,,1.82,-0.75,4.28,,,,,,,,,,,,,,,
2019-10-06,33.99,30.84,37.24,,,,14.97,11.82,17.94,,,,5.46,2.53,8.75,,,,1.81,-0.74,4.28,,,,,,,,,,29.0,13.0,6.0,2.0,,
2019-10-07,34.01,30.85,37.27,,,,14.97,11.83,17.94,,,,5.45,2.52,8.73,,,,1.81,-0.74,4.28,,,,,,,,,,,,,,,
2019-10-08,34.03,30.86,37.3,,,,14.98,11.82,17.93,,,,5.44,2.51,8.71,,,,1.81,-0.73,4.28,,,,,,,,,,,,,,,
2019-10-09,34.04,30.86,37.32,,,,14.98,11.81,17.92,,,,5.43,2.5,8.69,,,,1.81,-0.73,4.27,,,,,,,,,,,,,,,
2019-10-10,34.06,30.88,37.33,,,,14.98,11.8,17.91,,,,5.42,2.48,8.65,,,,1.8,-0.73,4.27,,,,,,,,,,,,,,,
2019-10-11,34.08,30.89,37.33,,,,14.98,11.8,17.89,,,,5.41,2.47,8.61,,,,1.8,-0.73,4.27,,,,,,,,,,,,,,,
2019-10-12,34.1,30.89,37.34,,,,14.98,11.82,17.88,,,,5.4,2.48,8.57,,,,1.8,-0.74,4.27,,,,,,,,,,,,,,,
2019-10-13,34.12,30.9,37.36,,,,14.98,11.83,17.87,,,,5.39,2.49,8.55,,,,1.8,-0.74,4.27,,,,,,,,,,,,,,,
2019-10-14,34.14,30.91,37.35,,,,14.98,11.85,17.86,,,,5.38,2.49,8.53,,,,1.79,-0.74,4.27,,,,,,,,,,,,,,,
2019-10-15,34.16,30.91,37.36,,,,14.99,11.87,17.85,,,,5.37,2.5,8.5,,,,1.79,-0.75,4.27,,,,,,,,,,,,,,,
2019-10-16,34.18,30.93,37.37,,,,14.99,11.88,17.85,,,,5.36,2.51,8.48,,,,1.79,-0.76,4.27,,,,,,,,,,,,,,,
2019-10-17,34.19,31.0,37.39,,,,14.99,11.9,17.84,,,,5.35,2.51,8.46,,,,1.79,-0.78,4.27,,,,,,,,,,,,,,,
2019-10-18,34.21,31.06,37.42,,,,14.99,11.92,17.83,,,,5.34,2.52,8.43,,,,1.78,-0.8,4.27,,,,,,,,,,,,,,,
2019-10-19,34.23,31.12,37.45,,,,14.99,11.94,17.82,,,,5.33,2.53,8.41,,,,1.78,-0.8,4.27,,,,,,,,,,,,,,,
2019-10-20,34.25,31.18,37.48,,,,14.99,11.95,17.81,,,,5.32,2.54,8.38,,,,1.78,-0.81,4.26,,,,,,,,,,,,,,,
2019-10-21,34.27,31.24,37.5,,,,14.99,11.97,17.8,,,,5.31,2.54,8.35,,,,1.78,-0.81,4.24,,,,,,,,,,,,,,,
2019-10-22,34.29,31.27,37.52,,,,14.99,11.99,17.8,,,,5.3,2.55,8.33,,,,1.77,-0.82,4.24,,,,,,,,,,,,,,,
2019-10-23,34.31,31.29,37.48,,,,14.99,12.02,17.79,,,,5.29,2.56,8.3,,,,1.77,-0.83,4.25,,,,,,,,,,,,,,,
2019-10-24,34.33,31.31,37.49,,,,14.99,12.04,17.78,,,,5.28,2.57,8.27,,,,1.77,-0.84,4.25,,,,,,,,,,,,,,,
2019-10-25,34.35,31.36,37.51,,,,14.99,12.07,17.77,,,,5.27,2.58,8.25,,,,1.77,-0.85,4.25,,,,,,,,,,,,,,,
2019-10-26,34.36,31.39,37.54,,,,14.99,12.08,17.77,,,,5.26,2.59,8.22,,,,1.76,-0.87,4.26,,,,,,,,,,,,,,,
2019-10-27,34.38,31.4,37.56,,,,14.99,12.09,17.76,,,,5.25,2.6,8.2,,,,1.76,-0.88,4.26,,,,,,,,,,,,,,,
2019-10-28,34.4,31.41,37.56,,,,14.99,12.1,17.75,,,,5.24,2.61,8.17,,,,1.76,-0.89,4.26,,,,,,,,,,,,,,,
2019-10-29,34.42,31.42,37.56,,,,15.0,12.11,17.74,,,,5.23,2.61,8.13,,,,1.76,-0.9,4.25,,,,,,,,,,,,,,,
2019-10-30,34.44,31.43,37.56,,,,15.0,12.13,17.74,,,,5.22,2.62,8.12,,,,1.75,-0.91,4.25,,,,,,,,,,,,,,,
2019-10-31,34.46,31.44,37.56,,,,15.0,12.15,17.73,,,,5.21,2.62,8.08,,,,1.75,-0.92,4.25,,,,,,,,,,,,,,,
2019-11-01,34.48,31.46,37.57,,,,15.0,12.17,17.72,,,,5.2,2.63,8.07,,,,1.75,-0.93,4.25,,,,,,,,,,,,,,,
2019-11-02,34.49,31.47,37.57,,,,15.0,12.19,17.71,,,,5.19,2.64,8.07,,,,1.75,-0.94,4.25,,,,,,,,,,,,,,,
2019-11-03,34.51,31.5,37.57,,,,15.0,12.21,17.71,,,,5.18,2.65,8.06,,,,1.74,-0.95,4.25,,,,,,,,,,,,,,,
2019-11-04,34.53,31.54,37.57,,,,15.0,12.23,17.7,,,,5.17,2.66,8.06,,,,1.74,-0.96,4.25,,,,,,,,,,35.0,16.0,6.0,2.0,,
2019-11-05,34.55,31.58,37.57,,,,15.0,12.25,17.69,,,,5.16,2.66,8.05,,,,1.74,-0.97,4.25,,,,,,,,,,,,,,,
2019-11-06,34.57,31.62,37.58,,,,15.0,12.27,17.68,,,,5.15,2.67,8.05,,,,1.74,-0.98,4.25,,,,,,,,,,,,,,,
2019-11-07,34.59,31.66,37.61,,,,15.0,12.29,17.67,,,,5.14,2.68,8.05,,,,1.73,-0.98,4.25,,,,,,,,,,,,,,,
2019-11-08,34.61,31.69,37.64,,,,15.0,12.31,17.66,,,,5.14,2.69,8.04,,,,1.73,-0.99,4.25,,,,,,,,,,,,,,,
2019-11-09,34.62,31.73,37.67,,,,15.0,12.33,17.65,,,,5.13,2.7,8.02,,,,1.73,-1.0,4.25,,,,,,,,,,,,,,,
2019-11-10,34.64,31.77,37.69,,,,15.0,12.35,17.64,,,,5.12,2.71,8.0,,,,1.73,-1.01,4.25,,,,,,,,,,,,,,,
2019-11-11,34.66,31.79,37.72,,,,15.0,12.37,17.63,,,,5.11,2.72,7.98,,,,1.72,-1.02,4.25,,,,,,,,,,,,,,,
2019-11-12,34.68,31.79,37.75,,,,15.0,12.39,17.63,,,,5.1,2.73,7.96,,,,1.72,-1.02,4.24,,,,,,,,,,,,,,,
2019-11-13,34.7,31.8,37.78,,,,15.0,12.4,17.63,,,,5.09,2.74,7.94,,,,1.72,-1.03,4.24,,,,,,,,,,,,,,,
2019-11-14,34.71,31.81,37.8,,,,15.0,12.41,17.63,,,,5.08,2.75,7.92,,,,1.72,-1.04,4.24,,,,,,,,,,,,,,,
2019-11-15,34.73,31.82,37.82,,,,15.0,12.42,17.63,,,,5.07,2.73,7.91,,,,1.71,-1.03,4.24,,,,,,,,,,,,,,,
2019-11-16,34.75,31.84,37.86,,,,15.0,12.43,17.62,,,,5.06,2.7,7.89,,,,1.71,-1.03,4.24,,,,,,,,,,,,,,,
2019-11-17,34.77,31.86,37.89,,,,15.0,12.44,17.62,,,,5.05,2.68,7.88,,,,1.71,-1.02,4.24,,,,,,,,,,,,,,,
2019-11-18,34.78,31.87,37.92,,,,15.0,12.45,17.61,,,,5.04,2.67,7.88,,,,1.71,-1.02,4.24,,,,,,,,,,,,,,,
2019-11-19,34.8,31.88,37.94,,,,15.0,12.46,17.6,,,,5.03,2.65,7.87,,,,1.7,-1.01,4.24,,,,,,,,,,,,,,,
2019-11-20,34.82,31.89,37.97,,,,15.01,12.47,17.6,,,,5.02,2.63,7.87,,,,1.7,-1.0,4.24,,,,,,,,,,,,,,,
2019-11-21,34.84,31.9,38.0,,,,15.01,12.48,17.59,,,,5.01,2.61,7.86,,,,1.7,-1.0,4.24,,,,,,,,,,,,,,,
2019-11-22,34.85,31.93,38.03,,,,15.01,12.49,17.59,,,,5.0,2.59,7.81,,,,1.7,-0.99,4.24,,,,,,,,,,,,,,,
2019-11-23,34.87,31.95,38.05,,,,15.01,12.51,17.58,,,,4.99,2.58,7.75,,,,1.7,-0.98,4.24,,,,,,,,,,,,,,,
2019-11-24,34.89,31.96,38.08,,,,15.01,12.53,17.58,,,,4.98,2.57,7.71,,,,1.69,-0.98,4.24,,,,,,,,,,,,,,,
2019-11-25,34.91,31.97,38.1,,,,15.01,12.54,17.57,,,,4.97,2.57,7.69,,,,1.69,-0.97,4.25,,,,,,,,,,,,,,,
2019-11-26,34.92,31.98,38.13,,,,15.01,12.56,17.57,,,,4.96,2.57,7.67,,,,1.69,-0.97,4.25,,,,,,,,,,,,,,,
2019-11-27,34.94,32.0,38.16,,,,15.01,12.58,17.56,,,,4.95,2.57,7.65,,,,1.69,-0.97,4.25,,,,,,,,,,,,,,,
2019-11-28,34.96,32.01,38.18,,,,15.01,12.6,17.55,,,,4.93,2.57,7.63,,,,1.68,-0.97,4.24,,,,,,,,,,,,,,,
2019-11-29,34.97,32.02,38.21,,,,15.01,12.62,17.55,,,,4.92,2.57,7.6,,,,1.68,-0.97,4.23,,,,,,,,,,,,,,,
2019-11-30,34.99,32.04,38.23,,,,15.02,12.63,17.54,,,,4.91,2.56,7.58,,,,1.68,-0.96,4.23,,,,,,,,,,,,,,,
2019-12-01,35.01,32.05,38.26,,,,15.02,12.62,17.54,,,,4.9,2.55,7.56,,,,1.68,-0.96,4.22,,,,,,,,,,36.0,17.0,5.0,1.0,,
2019-12-02,35.02,32.07,38.29,,,,15.02,12.62,17.53,,,,4.89,2.55,7.54,,,,1.67,-0.95,4.22,,,,,,,,,,,,,,,
2019-12-03,35.04,32.09,38.32,,,,15.02,12.62,17.53,,,,4.88,2.55,7.53,,,,1.67,-0.95,4.21,,,,,,,,,,,,,,,
2019-12-04,35.06,32.11,38.34,,,,15.02,12.64,17.52,,,,4.87,2.55,7.5,,,,1.67,-0.95,4.21,,,,,,,,,,,,,,,
2019-12-05,35.07,32.14,38.37,,,,15.02,12.65,17.52,,,,4.86,2.55,7.48,,,,1.67,-0.97,4.2,,,,,,,,,,,,,,,
2019-12-06,35.09,32.16,38.39,,,,15.02,12.66,17.51,,,,4.85,2.55,7.46,,,,1.66,-1.0,4.19,,,,,,,,,,,,,,,
2019-12-07,35.11,32.19,38.41,,,,15.03,12.67,17.51,,,,4.84,2.54,7.44,,,,1.66,-1.02,4.19,,,,,,,,,,,,,,,
2019-12-08,35.12,32.2,38.43,,,,15.03,12.69,17.5,,,,4.83,2.54,7.41,,,,1.66,-1.04,4.18,,,,,,,,,,,,,,,
2019-12-09,35.14,32.21,38.45,,,,15.03,12.7,17.48,,,,4.82,2.54,7.39,,,,1.66,-1.05,4.18,,,,,,,,,,,,,,,
2019-12-10,35.15,32.23,38.48,,,,15.03,12.7,17.46,,,,4.81,2.54,7.36,,,,1.65,-1.06,4.17,,,,,,,,,,,,,,,
2019-12-11,35.17,32.24,38.5,,,,15.03,12.7,17.46,,,,4.8,2.54,7.34,,,,1.65,-1.06,4.16,,,,,,,,,,,,,,,
2019-12-12,35.19,32.25,38.52,,,,15.04,12.69,17.46,,,,4.79,2.54,7.31,,,,1.65,-1.05,4.16,,,,,,,,,,,,,,,
2019-12-13,35.2,32.26,38.56,,,,15.04,12.68,17.47,,,,4.78,2.54,7.29,,,,1.64,-1.05,4.16,,,,,,,,,,,,,,,
2019-12-14,35.22,32.28,38.59,,,,15.04,12.67,17.47,,,,4.77,2.54,7.27,,,,1.64,-1.05,4.15,,,,,,,,,,,,,,,
2019-12-15,35.23,32.29,38.62,,,,15.04,12.66,17.47,,,,4.76,2.54,7.24,,,,1.64,-1.05,4.15,,,,,,,,,,,,,,,
2019-12-16,35.25,32.3,38.65,,,,15.04,12.65,17.47,,,,4.75,2.53,7.22,,,,1.64,-1.05,4.14,,,,,,,,,,,,,,,
2019-12-17,35.27,32.31,38.68,,,,15.05,12.64,17.47,,,,4.74,2.51,7.2,,,,1.63,-1.05,4.14,,,,,,,,,,,,,,,
2019-12-18,35.28,32.33,38.69,,,,15.05,12.63,17.47,,,,4.72,2.49,7.18,,,,1.63,-1.06,4.13,,,,,,,,,,,,,,,
2019-12-19,35.3,32.34,38.71,,,,15.05,12.62,17.48,,,,4.71,2.47,7.15,,,,1.63,-1.07,4.12,,,,,,,,,,,,,,,
2019-12-20,35.31,32.35,38.72,,,,15.06,12.61,17.48,,,,4.7,2.47,7.13,,,,1.63,-1.08,4.12,,,,,,,,,,,,,,,
2019-12-21,35.33,32.37,38.73,,,,15.06,12.61,17.48,,,,4.69,2.48,7.11,,,,1.62,-1.1,4.12,,,,,,,,,,,,,,,
2019-12-22,35.35,32.38,38.73,,,,15.06,12.61,17.49,,,,4.68,2.48,7.08,,,,1.62,-1.11,4.11,,,,,,,,,,,,,,,
2019-12-23,35.36,32.39,38.73,,,,15.06,12.62,17.49,,,,4.67,2.49,7.06,,,,1.62,-1.13,4.11,,,,,,,,,,,,,,,
2019-12-24,35.38,32.41,38.72,,,,15.07,12.62,17.49,,,,4.66,2.49,7.04,,,,1.61,-1.14,4.11,,,,,,,,,,,,,,,
2019-12-25,35.39,32.42,38.72,,,,15.07,12.62,17.49,,,,4.65,2.49,7.01,,,,1.61,-1.16,4.11,,,,,,,,,,,,,,,
2019-12-26,35.41,32.43,38.72,,,,15.07,12.63,17.5,,,,4.64,2.49,6.99,,,,1.61,-1.17,4.11,,,,,,,,,,,,,,,
2019-12-27,35.42,32.45,38.71,,,,15.08,12.63,17.5,,,,4.63,2.5,6.96,,,,1.6,-1.18,4.11,,,,,,,,,,,,,,,
2019-12-28,35.44,32.46,38.71,,,,15.08,12.63,17.51,,,,4.61,2.5,6.94,,,,1.6,-1.2,4.11,,,,,,,,,,,,,,,
2019-12-29,35.45,32.47,38.7,,,,15.08,12.63,17.53,,,,4.6,2.51,6.92,,,,1.6,-1.21,4.1,,,,,,,,,,,,,,,
2019-12-30,35.47,32.49,38.7,,,,15.09,12.63,17.55,,,,4.59,2.51,6.89,,,,1.6,-1.22,4.1,,,,,,,,,,,,,,,
2019-12-31,35.49,32.5,38.69,,,,15.09,12.63,17.55,,,,4.58,2.52,6.87,,,,1.59,-1.23,4.1,,,,,,,,,,,,,,,
2020-01-01,35.5,32.52,38.69,,,,15.09,12.63,17.56,,,,4.57,2.52,6.85,,,,1.59,-1.23,4.1,,,,,,,,,,,,,,,
2020-01-02,35.52,32.53,38.66,,,,15.1,12.63,17.54,,,,4.56,2.5,6.83,,,,1.59,-1.24,4.1,,,,,,,,,,,,,,,
2020-01-03,35.53,32.55,38.66,,,,15.1,12.62,17.52,,,,4.55,2.49,6.81,,,,1.58,-1.25,4.1,,,,,,,,,,,,,,,
2020-01-04,35.55,32.56,38.67,,,,15.1,12.62,17.52,,,,4.54,2.47,6.79,,,,1.58,-1.26,4.1,,,,,,,,,,,,,,,
2020-01-05,35.56,32.58,38.66,,,,15.11,12.62,17.53,,,,4.52,2.46,6.77,,,,1.58,-1.27,4.1,,,,,,,,,,,,,,,
2020-01-06,35.58,32.59,38.66,,,,15.11,12.61,17.53,,,,4.51,2.44,6.75,,,,1.57,-1.28,4.1,,,,,,,,,,37.0,16.0,3.0,,,
2020-01-07,35.59,32.59,38.65,,,,15.11,12.62,17.53,,,,4.5,2.43,6.73,,,,1.57,-1.28,4.1,,,,,,,,,,,,,,,
2020-01-08,35.61,32.61,38.64,,,,15.12,12.64,17.53,,,,4.49,2.4,6.71,,,,1.57,-1.3,4.1,,,,,,,,,,,,,,,
2020-01-09,35.62,32.63,38.64,,,,15.12,12.65,17.53,,,,4.48,2.38,6.69,,,,1.56,-1.32,4.1,,,,,,,,,,,,,,,
2020-01-10,35.64,32.64,38.64,,,,15.13,12.67,17.53,,,,4.47,2.37,6.67,,,,1.56,-1.34,4.1,,,,,,,,,,,,,,,
2020-01-11,35.65,32.66,38.63,,,,15.13,12.69,17.52,,,,4.45,2.34,6.66,,,,1.56,-1.37,4.1,,,,,,,,,,,,,,,
2020-01-12,35.67,32.68,38.63,,,,15.13,12.69,17.52,,,,4.44,2.32,6.65,,,,1.55,-1.39,4.09,,,,,,,,,,,,,,,
2020-01-13,35.68,32.7,38.62,,,,15.14,12.71,17.52,,,,4.43,2.3,6.64,,,,1.55,-1.41,4.09,,,,,,,,,,,,,,,
2020-01-14,35.7,32.71,38.61,,,,15.14,12.72,17.51,,,,4.42,2.28,6.64,,,,1.55,-1.44,4.09,,,,,,,,,,,,,,,
2020-01-15,35.71,32.73,38.6,,,,15.15,12.72,17.51,,,,4.41,2.25,6.63,,,,1.54,-1.46,4.09,,,,,,,,,,,,,,,
2020-01-16,35.73,32.75,38.59,,,,15.15,12.74,17.51,,,,4.39,2.24,6.61,,,,1.54,-1.48,4.09,,,,,,,,,,,,,,,
2020-01-17,35.74,32.76,38.59,,,,15.16,12.75,17.5,,,,4.38,2.25,6.58,,,,1.54,-1.5,4.09,,,,,,,,,,,,,,,
2020-01-18,35.76,32.78,38.58,,,,15.16,12.76,17.5,,,,4.37,2.25,6.55,,,,1.53,-1.51,4.09,,,,,,,,,,,,,,,
2020-01-19,35.77,32.8,38.57,,,,15.16,12.79,17.51,,,,4.36,2.25,6.54,,,,1.53,-1.53,4.09,,,,,,,,,,,,,,,
2020-01-20,35.79,32.81,38.57,,,,15.17,12.83,17.52,,,,4.35,2.24,6.53,,,,1.53,-1.54,4.09,,,,,,,,,,,,,,,
2020-01-21,35.8,32.83,38.56,,,,15.17,12.84,17.53,,,,4.33,2.22,6.52,,,,1.52,-1.56,4.08,,,,,,,,,,,,,,,
2020-01-22,35.82,32.85,38.55,,,,15.18,12.84,17.54,,,,4.32,2.2,6.51,,,,1.52,-1.57,4.08,,,,,,,,,,,,,,,
2020-01-23,35.83,32.87,38.54,,,,15.18,12.83,17.55,,,,4.31,2.18,6.5,,,,1.51,-1.59,4.08,,,,,,,,,,,,,,,
2020-01-24,35.85,32.88,38.53,,,,15.19,12.83,17.56,,,,4.3,2.16,6.51,,,,1.51,-1.6,4.08,,,,,,,,,,,,,,,
2020-01-25,35.86,32.9,38.52,,,,15.19,12.83,17.57,,,,4.28,2.14,6.51,,,,1.51,-1.63,4.08,,,,,,,,,,,,,,,
