Portrait,Party,Latest %,vs 2m,vs 6m
,Con,20.4,+1.1,+4.2
,Lab,19.0,+2.7,+10.1
,LDem,4.7,+0.2,+0.5
,Grn,14.1,+2.7,+8.5
,Reform,13.8,-0.2,-2.4
