Portrait,Party,Latest %,vs 2m,vs 6m
,Con,34.1,+2.0,+6.6
,Lab,17.1,+2.1,+6.4
,LDem,4.7,-0.5,-0.6
,Grn,8.3,+1.2,+4.9
,Reform,15.7,-1.1,-3.4
