Party,Latest poll,2024 general election,Change
Con,16.81,24,-7.2
Lab,27.68,35,-7.3
LDem,7.27,13,-5.7
Grn,11.49,7,+4.5
Reform,13.58,15,-1.4
Other,23.2,6,+17.2
