Party,Latest poll,2024 general election,Change
Con,23.8,24,-0.2
Lab,26.11,35,-8.9
LDem,10.38,13,-2.6
Grn,15.19,7,+8.2
Reform,13.0,15,-2.0
Other,11.5,6,+5.5
