Party,Latest poll,2024 general election,Change
Con,33.03,24,+9.0
Lab,15.96,35,-19.0
LDem,5.04,13,-8.0
Grn,8.51,7,+1.5
Reform,17.97,15,+3.0
Other,19.5,6,+13.5
