day,Thatcher net,Thatcher net (low),Thatcher net (high),Major net,Major net (low),Major net (high),Blair net,Blair net (low),Blair net (high),Brown net,Brown net (low),Brown net (high),Cameron net,Cameron net (low),Cameron net (high),May net,May net (low),May net (high),Johnson net,Johnson net (low),Johnson net (high),Truss net,Truss net (low),Truss net (high),Sunak net,Sunak net (low),Sunak net (high),Starmer net,Starmer net (low),Starmer net (high)
0,,,,,,,61.84,59.59,64.02,,,,37.53,34.1,40.14,,,,-4.83,-10.52,0.21,,,,-3.73,-7.67,-0.37,-0.55,-6.09,4.7
1,,,,,,,61.82,59.51,64.75,,,,37.42,34.01,40.0,,,,-4.89,-10.52,0.2,-32.26,-41.32,-23.07,-3.8,-7.74,-0.4,-0.75,-6.31,4.47
2,,,,,,,61.81,59.18,64.7,,,,37.31,33.9,39.89,,,,-4.95,-10.54,0.19,-32.35,-41.42,-23.14,-3.88,-7.8,-0.45,-0.95,-6.56,4.23
3,,,,25.86,22.71,31.23,61.79,59.18,64.68,,,,37.2,33.8,39.8,,,,-5.01,-10.65,0.1,-32.44,-41.5,-23.21,-3.95,-7.86,-0.52,-1.15,-6.75,4.0
4,,,,26.01,22.86,31.39,61.77,59.17,64.64,,,,37.08,33.69,39.71,,,,-5.07,-10.76,-0.02,-32.53,-41.56,-23.33,-4.03,-7.9,-0.59,-1.35,-6.96,3.75
5,,,,26.16,22.89,31.52,61.75,59.16,64.59,,,,36.97,33.56,39.61,,,,-5.13,-10.82,-0.14,-32.61,-41.58,-23.43,-4.11,-7.95,-0.66,-1.54,-7.09,3.52
6,,,,26.31,22.91,31.66,61.72,59.15,64.51,,,,36.85,33.41,39.51,,,,-5.19,-10.83,-0.26,-32.68,-41.61,-23.54,-4.2,-8.0,-0.72,-1.73,-7.28,3.29
7,,,,26.46,23.02,31.8,61.69,59.13,64.41,,,,36.73,33.33,39.38,,,,-5.25,-10.82,-0.37,-32.75,-41.63,-23.64,-4.28,-8.05,-0.8,-1.93,-7.51,3.05
8,,,,26.61,23.12,31.93,61.65,59.11,64.28,,,,36.6,33.26,39.2,,,,-5.31,-10.82,-0.48,-32.82,-41.65,-23.72,-4.37,-8.11,-0.91,-2.12,-7.69,2.77
9,,,,26.76,23.18,32.06,61.61,59.09,64.12,,,,36.48,33.16,39.01,,,,-5.36,-10.81,-0.59,-32.88,-41.67,-23.81,-4.47,-8.16,-1.01,-2.32,-7.78,2.52
10,,,,26.91,23.31,32.18,61.56,59.07,63.97,,,,36.35,33.05,38.87,,,,-5.41,-10.79,-0.64,-32.94,-41.69,-23.89,-4.56,-8.22,-1.11,-2.51,-7.85,2.32
11,,,,27.05,23.37,32.31,61.51,58.98,63.89,,,,36.22,32.93,38.79,,,,-5.46,-10.8,-0.68,-33.0,-41.7,-23.97,-4.66,-8.28,-1.23,-2.71,-7.99,2.12
12,,,,27.2,23.4,32.49,61.45,58.82,63.76,,,,36.1,32.81,38.72,,,,-5.51,-10.78,-0.74,-33.05,-41.71,-24.04,-4.76,-8.36,-1.34,-2.9,-8.15,1.9
13,,,,27.34,23.42,32.7,61.39,58.7,63.66,,,,35.97,32.68,38.66,,,,-5.55,-10.75,-0.86,-33.1,-41.73,-24.1,-4.87,-8.45,-1.49,-3.1,-8.31,1.71
14,,,,27.48,23.5,32.83,61.32,58.56,63.65,,,,35.84,32.55,38.61,,,,-5.59,-10.71,-0.96,-33.15,-41.74,-24.12,-4.98,-8.54,-1.56,-3.3,-8.43,1.47
15,,,,27.62,23.63,32.9,61.25,58.41,63.64,25.74,18.25,34.22,35.7,32.44,38.47,,,,-5.63,-10.67,-1.07,-33.19,-41.74,-24.14,-5.09,-8.64,-1.67,-3.49,-8.62,1.19
16,,,,27.76,23.74,32.97,61.17,58.15,63.58,25.81,18.36,34.07,35.57,32.36,38.34,,,,-5.66,-10.64,-1.17,-33.24,-41.75,-24.15,-5.2,-8.74,-1.79,-3.69,-8.78,0.97
17,,,,27.9,23.88,33.03,61.09,57.87,63.44,25.86,18.47,34.08,35.44,32.24,38.25,,,,-5.68,-10.59,-1.25,-33.28,-41.78,-24.16,-5.32,-8.81,-1.95,-3.89,-8.92,0.79
18,,,,28.04,24.0,33.1,61.01,57.58,63.38,25.92,18.59,34.03,35.31,32.03,38.06,,,,-5.71,-10.54,-1.34,-33.32,-41.81,-24.17,-5.44,-8.89,-2.09,-4.08,-9.13,0.64
19,,,,28.18,24.14,33.17,60.92,57.29,63.37,25.97,18.77,33.9,35.17,31.91,37.87,,,,-5.72,-10.48,-1.4,-33.36,-41.85,-24.18,-5.56,-8.99,-2.28,-4.28,-9.29,0.44
20,,,,28.31,24.25,33.34,60.83,56.99,63.34,26.02,18.93,33.75,35.04,31.79,37.68,,,,-5.74,-10.42,-1.44,-33.4,-41.89,-24.19,-5.69,-9.09,-2.4,-4.48,-9.39,0.26
21,,,,28.45,24.34,33.52,60.74,56.68,63.3,26.06,19.1,33.59,34.91,31.67,37.56,,,,-5.75,-10.42,-1.46,-33.44,-41.92,-24.21,-5.82,-9.23,-2.47,-4.68,-9.53,0.16
22,,,,28.58,24.43,33.67,60.65,56.38,63.25,26.1,19.26,33.57,34.77,31.55,37.46,,,,-5.75,-10.43,-1.5,-33.48,-41.96,-24.22,-5.94,-9.34,-2.59,-4.88,-9.68,0.07
23,,,,28.72,24.53,33.83,60.55,56.08,63.22,26.14,19.42,33.54,34.64,31.36,37.35,,,,-5.75,-10.45,-1.56,-33.52,-42.0,-24.24,-6.08,-9.44,-2.72,-5.08,-9.84,-0.03
24,,,,28.85,24.62,33.97,60.45,55.77,63.18,26.18,19.54,33.51,34.51,31.17,37.23,,,,-5.75,-10.45,-1.62,-33.56,-42.03,-24.26,-6.21,-9.61,-2.86,-5.28,-9.99,-0.14
25,,,,28.98,24.74,34.11,60.35,55.47,63.06,26.21,19.57,33.49,34.38,30.98,37.13,,,,-5.74,-10.43,-1.66,-33.61,-42.07,-24.28,-6.34,-9.78,-3.0,-5.48,-10.15,-0.23
26,,,,29.1,24.94,34.24,60.25,55.18,62.95,26.24,19.6,33.35,34.24,30.8,37.05,,,,-5.72,-10.35,-1.72,-33.65,-42.1,-24.3,-6.48,-9.94,-3.14,-5.68,-10.39,-0.4
27,,,,29.23,25.08,34.36,60.15,54.89,62.79,26.27,19.64,33.15,34.11,30.62,36.96,,,,-5.71,-10.31,-1.77,-33.7,-42.14,-24.32,-6.62,-10.03,-3.27,-5.88,-10.67,-0.63
28,,,,29.36,25.14,34.48,60.05,54.65,62.64,26.29,19.66,32.94,33.98,30.47,36.87,,,,-5.69,-10.31,-1.81,-33.75,-42.17,-24.35,-6.76,-10.13,-3.42,-6.08,-10.84,-0.88
29,,,,29.48,25.26,34.59,59.95,54.42,62.53,26.3,19.69,32.89,33.85,30.35,36.72,,,,-5.66,-10.3,-1.86,-33.8,-42.21,-24.37,-6.9,-10.23,-3.56,-6.28,-11.06,-1.12
30,,,,29.6,25.36,34.73,59.85,54.18,62.49,26.32,19.71,32.83,33.72,30.24,36.64,,,,-5.64,-10.19,-1.92,-33.85,-42.25,-24.4,-7.04,-10.34,-3.71,-6.48,-11.24,-1.35
31,,,,29.72,25.41,34.86,59.75,53.96,62.46,26.32,19.75,32.76,33.59,30.13,36.54,,,,-5.61,-10.04,-1.93,-33.91,-42.29,-24.44,-7.18,-10.47,-3.87,-6.67,-11.44,-1.6
32,,,,29.84,25.54,34.91,59.65,53.66,63.01,26.32,19.81,32.67,33.46,30.02,36.43,,,,-5.57,-9.88,-1.97,-33.97,-42.34,-24.48,-7.33,-10.66,-4.02,-6.87,-11.68,-1.84
33,,,,29.95,25.65,34.97,59.55,53.43,63.01,26.31,19.83,32.59,33.33,29.92,36.3,23.81,13.45,31.23,-5.54,-9.72,-2.0,-34.04,-42.39,-24.51,-7.47,-10.84,-4.17,-7.07,-11.93,-1.98
34,,,,30.07,25.73,35.06,59.45,53.21,63.01,26.3,19.84,32.49,33.2,29.81,36.21,23.77,12.93,31.2,-5.5,-9.57,-2.03,-34.1,-42.44,-24.54,-7.62,-11.03,-4.33,-7.27,-12.14,-2.11
35,,,,30.18,25.81,35.14,59.35,53.0,63.01,26.28,19.86,32.42,33.07,29.71,36.08,23.73,12.99,31.18,-5.46,-9.42,-2.03,-34.18,-42.48,-24.58,-7.77,-11.2,-4.49,-7.47,-12.34,-2.25
36,,,,30.29,25.9,35.22,59.26,52.86,63.0,26.26,19.87,32.33,32.94,29.6,35.98,23.69,13.04,31.16,-5.41,-9.28,-2.02,-34.25,-42.53,-24.62,-7.91,-11.33,-4.66,-7.67,-12.55,-2.44
37,,,,30.4,25.99,35.3,59.16,52.76,62.99,26.23,19.89,32.24,32.81,29.47,35.87,23.64,13.09,31.14,-5.37,-9.15,-2.01,-34.33,-42.59,-24.66,-8.06,-11.48,-4.82,-7.86,-12.74,-2.66
38,,,,30.5,26.07,35.37,59.07,52.68,63.0,26.19,19.91,32.14,32.68,29.39,35.71,23.6,13.14,31.11,-5.32,-9.02,-2.0,-34.42,-42.64,-24.71,-8.21,-11.72,-4.99,-8.06,-12.94,-2.89
39,,,,30.61,26.16,35.43,58.98,52.62,62.99,26.15,19.93,32.03,32.56,29.32,35.58,23.56,13.2,31.08,-5.27,-8.89,-1.99,-34.51,-42.67,-24.76,-8.37,-11.82,-5.15,-8.26,-13.13,-3.12
40,-1.72,-4.65,1.0,30.71,26.24,35.48,58.89,52.58,62.99,26.11,19.94,31.92,32.43,29.22,35.46,23.51,13.27,31.05,-5.22,-8.76,-1.98,-34.6,-42.7,-24.89,-8.52,-11.9,-5.29,-8.46,-13.3,-3.35
41,-1.71,-6.0,1.0,30.81,26.38,35.53,58.8,52.56,62.99,26.06,19.96,31.8,32.3,29.12,35.32,23.47,13.32,31.01,-5.17,-8.67,-1.97,,,,-8.68,-12.02,-5.41,-8.66,-13.53,-3.53
42,-1.7,-6.0,1.0,30.91,26.52,35.56,58.72,52.56,62.99,26.01,19.97,31.67,32.17,28.96,35.17,23.43,13.4,30.97,-5.12,-8.62,-1.96,,,,-8.84,-12.16,-5.57,-8.86,-13.74,-3.72
43,-1.69,-5.99,1.0,31.01,26.61,35.6,58.64,52.57,62.99,25.95,19.81,31.54,32.03,28.8,35.07,23.38,13.47,30.93,-5.07,-8.56,-1.96,,,,-9.0,-12.3,-5.72,-9.07,-13.94,-3.98
44,-1.68,-5.98,1.0,31.1,26.69,35.63,58.56,52.6,63.0,25.89,19.63,31.41,31.9,28.65,35.0,23.34,13.54,30.87,-5.02,-8.51,-1.98,,,,-9.16,-12.45,-5.87,-9.28,-14.14,-4.26
45,-1.66,-5.96,1.0,31.19,26.75,35.65,58.48,52.56,62.99,25.83,19.46,31.27,31.77,28.49,34.92,23.3,13.63,30.81,-4.97,-8.44,-1.99,,,,-9.33,-12.66,-6.02,-9.49,-14.34,-4.53
46,-1.65,-5.93,1.0,31.28,26.82,35.67,58.4,52.53,63.0,25.77,19.29,31.12,31.63,28.34,34.84,23.26,13.7,30.73,-4.92,-8.38,-2.01,,,,-9.5,-12.87,-6.21,-9.7,-14.54,-4.78
47,-1.64,-5.88,1.0,31.37,26.96,35.68,58.33,52.48,63.02,25.7,19.2,30.9,31.5,28.18,34.67,23.22,13.8,30.64,-4.87,-8.31,-2.01,,,,-9.67,-13.07,-6.41,-9.91,-14.74,-4.94
48,-1.62,-5.83,1.0,31.46,27.09,35.68,58.26,52.39,63.04,25.63,19.09,30.84,31.36,28.03,34.51,23.18,13.88,30.52,-4.82,-8.24,-2.03,,,,-9.85,-13.2,-6.66,-10.13,-14.93,-5.11
49,-1.61,-5.75,1.0,31.54,27.23,35.73,58.19,52.29,63.05,25.56,19.0,30.77,31.23,27.87,34.4,23.15,13.97,30.4,-4.77,-8.15,-2.04,,,,-10.03,-13.35,-6.9,-10.35,-15.13,-5.29
50,-1.59,-5.66,1.0,31.62,27.37,35.81,58.12,52.2,63.07,25.49,18.89,30.78,31.09,27.72,34.24,23.11,14.08,30.28,-4.73,-8.03,-2.04,,,,-10.21,-13.46,-7.08,-10.58,-15.33,-5.48
51,-1.58,-5.56,0.99,31.7,27.5,35.89,58.06,52.11,63.09,25.41,18.79,30.74,30.95,27.58,34.09,23.08,14.18,30.17,-4.69,-7.93,-2.03,,,,-10.39,-13.59,-7.26,-10.8,-15.53,-5.67
52,-1.56,-5.46,0.99,31.78,27.55,35.9,58.0,52.02,63.1,25.34,18.69,30.71,30.8,27.42,33.96,23.04,14.28,30.09,-4.65,-7.82,-2.03,,,,-10.58,-13.71,-7.45,-11.03,-15.73,-5.86
53,-1.55,-5.33,0.99,31.86,27.6,35.81,57.94,51.95,63.12,25.26,18.68,30.66,30.66,27.32,33.78,23.01,14.34,30.05,-4.62,-7.75,-2.04,,,,-10.76,-13.84,-7.63,-11.27,-15.92,-6.07
54,-1.53,-5.21,0.99,31.94,27.65,35.72,57.88,51.84,63.13,25.18,18.58,30.44,30.51,27.2,33.59,22.98,14.37,29.99,-4.58,-7.7,-2.04,,,,-10.95,-13.97,-7.81,-11.5,-16.12,-6.29
55,-1.52,-5.07,0.99,32.01,27.71,35.62,57.82,51.73,63.15,25.1,18.59,30.37,30.36,27.07,33.39,22.95,14.41,29.91,-4.56,-7.65,-2.04,,,,-11.14,-14.1,-8.01,-11.74,-16.32,-6.5
56,-1.5,-4.92,0.99,32.08,27.75,35.57,57.77,51.63,63.16,25.02,18.44,30.35,30.21,26.93,33.19,22.92,14.45,29.82,-4.53,-7.62,-2.04,,,,-11.33,-14.22,-8.28,-11.98,-16.51,-6.73
57,-1.48,-4.79,0.98,32.16,27.83,35.53,57.72,51.75,63.18,24.93,18.14,30.32,30.06,26.83,32.97,22.89,14.47,29.71,-4.52,-7.59,-2.05,,,,-11.52,-14.35,-8.56,-12.22,-16.71,-7.03
58,-1.47,-4.64,0.98,32.23,27.93,35.5,57.67,51.78,63.19,24.84,18.02,30.3,29.9,26.73,32.83,22.86,14.5,29.61,-4.5,-7.58,-2.08,,,,-11.71,-14.51,-8.83,-12.47,-16.9,-7.34
59,-1.45,-4.55,0.98,32.3,28.02,35.54,57.62,51.78,63.17,24.75,17.91,30.27,29.74,26.59,32.7,22.84,14.52,29.56,-4.49,-7.53,-2.16,,,,-11.9,-14.69,-9.0,-12.71,-17.09,-7.6
60,-1.44,-4.52,0.98,32.37,28.11,35.63,57.57,51.68,63.16,24.66,17.8,30.15,29.58,26.44,32.58,22.81,14.63,29.54,-4.48,-7.47,-2.25,,,,-12.1,-14.86,-9.16,-12.96,-17.28,-7.86
61,-1.43,-4.49,0.97,32.44,28.21,35.73,57.52,51.59,63.15,24.57,17.69,29.97,29.41,26.3,32.44,22.79,14.81,29.52,-4.48,-7.43,-2.32,,,,-12.29,-15.12,-9.33,-13.21,-17.47,-8.16
62,-1.41,-4.46,0.97,32.51,28.31,35.8,57.48,51.41,63.93,24.47,17.58,29.8,29.25,26.15,32.18,22.77,14.98,29.93,-4.48,-7.39,-2.37,,,,-12.48,-15.28,-9.51,-13.47,-17.66,-8.47
63,-1.4,-4.39,0.97,32.58,28.41,35.81,57.43,51.23,63.93,24.37,17.48,29.59,29.08,26.03,31.9,22.75,15.16,29.83,-4.49,-7.37,-2.38,,,,-12.67,-15.41,-9.74,-13.72,-17.88,-8.79
64,-1.39,-4.27,0.96,32.65,28.51,35.91,57.39,51.02,63.95,24.27,17.37,29.48,28.9,25.9,31.62,22.73,15.32,29.72,-4.5,-7.37,-2.38,,,,-12.86,-15.58,-10.01,-13.97,-18.09,-9.07
65,-1.37,-4.15,0.96,32.72,28.61,36.01,57.35,51.09,63.97,24.16,17.27,29.29,28.73,25.77,31.44,22.71,15.39,29.6,-4.51,-7.38,-2.44,,,,-13.05,-15.67,-10.21,-14.23,-18.27,-9.39
66,-1.36,-4.09,0.96,32.79,28.72,36.11,57.31,51.21,63.93,24.06,17.17,29.19,28.55,25.63,31.27,22.68,15.45,29.49,-4.53,-7.31,-2.51,,,,-13.23,-15.78,-10.43,-14.49,-18.43,-9.69
67,-1.35,-4.08,0.95,32.85,28.82,36.16,57.27,51.32,63.88,23.94,17.07,29.08,28.38,25.44,31.09,22.66,15.51,29.37,-4.55,-7.32,-2.61,,,,-13.41,-15.91,-10.66,-14.75,-18.61,-9.94
68,-1.34,-4.07,0.95,32.92,28.91,36.11,57.23,51.42,63.81,23.82,16.97,28.98,28.2,25.3,30.92,22.64,15.57,29.25,-4.58,-7.32,-2.71,,,,-13.58,-16.04,-10.88,-15.01,-18.8,-10.22
69,-1.33,-4.05,1.0,32.98,29.01,36.07,57.19,51.58,63.74,23.7,16.88,28.86,28.02,25.1,30.75,22.62,15.67,29.13,-4.6,-7.35,-2.73,,,,-13.76,-16.23,-11.08,-15.27,-18.95,-10.47
70,-1.33,-4.02,1.0,33.04,29.1,36.01,57.15,51.7,63.66,23.57,16.79,28.74,27.83,24.92,30.57,22.59,15.81,29.0,-4.63,-7.39,-2.8,,,,-13.93,-16.36,-11.26,-15.53,-19.14,-10.75
71,-1.32,-4.0,1.0,33.09,29.19,36.01,57.11,51.85,63.56,23.43,16.55,28.68,27.65,24.77,30.38,22.57,15.95,28.89,-4.67,-7.43,-2.88,,,,-14.09,-16.49,-11.43,-15.79,-19.37,-11.1
72,-1.31,-3.98,1.0,33.14,29.23,36.05,57.07,51.99,63.47,23.28,16.27,28.65,27.46,24.6,30.15,22.54,16.07,28.77,-4.7,-7.47,-2.93,,,,-14.25,-16.66,-11.59,-16.05,-19.56,-11.46
73,-1.31,-3.96,1.0,33.19,29.28,36.07,57.03,52.01,63.4,23.12,16.07,28.62,27.27,24.45,29.98,22.51,16.18,28.66,-4.74,-7.51,-2.95,,,,-14.4,-16.77,-11.75,-16.32,-19.78,-11.8
74,-1.3,-3.95,1.0,33.23,29.36,36.13,57.0,51.94,63.33,22.96,15.77,28.58,27.08,24.35,29.81,22.48,16.29,28.53,-4.78,-7.52,-2.98,,,,-14.55,-16.89,-11.9,-16.58,-20.0,-12.08
75,-1.29,-3.96,1.0,33.27,29.43,36.21,56.96,51.88,63.25,22.79,15.44,28.43,26.89,24.19,29.62,22.45,16.37,28.4,-4.82,-7.5,-3.06,,,,-14.69,-16.93,-12.05,-16.85,-20.24,-12.5
76,-1.29,-3.97,1.0,33.31,29.49,36.3,56.92,51.81,63.16,22.61,15.14,28.36,26.7,24.08,29.4,22.42,16.41,28.22,-4.87,-7.49,-3.13,,,,-14.83,-17.05,-12.2,-17.12,-20.49,-12.74
77,-1.28,-3.99,1.0,33.34,29.54,36.36,56.88,51.76,63.07,22.43,14.99,28.27,26.5,23.97,29.13,22.38,16.5,28.09,-4.91,-7.47,-3.17,,,,-14.96,-17.2,-12.33,-17.38,-20.75,-13.0
78,-1.27,-3.95,1.0,33.36,29.59,36.3,56.85,51.71,62.98,22.23,14.86,28.17,26.31,23.86,28.88,22.34,16.66,27.97,-4.96,-7.46,-3.22,,,,-15.08,-17.28,-12.46,-17.65,-21.04,-13.33
79,-1.27,-3.95,1.0,33.38,29.64,36.27,56.81,51.65,62.88,22.03,14.72,28.07,26.11,23.73,28.68,22.3,16.79,27.85,-5.0,-7.45,-3.27,,,,-15.2,-17.39,-12.59,-17.92,-21.34,-13.64
80,-1.26,-3.94,1.0,33.39,29.63,36.34,56.77,51.59,62.79,21.82,14.58,27.95,25.91,23.52,28.49,22.26,16.89,27.77,-5.05,-7.46,-3.34,,,,-15.31,-17.49,-12.71,-18.18,-21.52,-13.99
81,-1.25,-3.94,1.0,33.4,29.63,36.29,56.74,51.62,62.68,21.61,14.44,27.75,25.71,23.35,28.32,22.22,16.91,27.7,-5.1,-7.53,-3.37,,,,-15.42,-17.57,-12.82,-18.45,-21.82,-14.2
82,-1.25,-3.93,1.0,33.41,29.63,36.24,56.7,51.68,62.58,21.38,14.29,27.39,25.51,23.18,28.09,22.17,16.93,27.63,-5.15,-7.54,-3.4,,,,-15.52,-17.66,-12.93,-18.72,-22.1,-14.55
83,-1.24,-3.91,1.0,33.4,29.61,36.18,56.66,51.75,62.51,21.15,14.14,27.03,25.32,22.99,27.86,22.12,16.9,27.56,-5.2,-7.57,-3.46,,,,-15.62,-17.75,-13.02,-18.98,-22.38,-14.91
84,-1.23,-3.9,1.0,33.4,29.55,36.08,56.63,51.82,62.44,20.91,13.9,26.87,25.12,22.84,27.62,22.08,16.87,27.28,-5.24,-7.61,-3.51,,,,-15.71,-17.89,-13.15,-19.25,-22.65,-15.28
85,-1.22,-3.9,1.0,33.38,29.46,36.05,56.59,51.89,62.37,20.66,13.68,26.77,24.92,22.67,27.38,22.02,16.97,27.11,-5.29,-7.65,-3.56,,,,-15.79,-18.01,-13.27,-19.52,-22.92,-15.56
86,-1.21,-3.89,1.0,33.36,29.42,36.02,56.55,51.83,62.25,20.4,13.19,26.66,24.72,22.51,27.14,21.97,17.1,26.95,-5.34,-7.68,-3.59,,,,-15.87,-18.17,-13.39,-19.79,-23.19,-15.84
87,-1.2,-3.88,1.0,33.34,29.45,36.0,56.51,51.69,62.04,20.13,12.69,26.54,24.52,22.36,26.95,21.92,17.23,26.78,-5.38,-7.69,-3.64,,,,-15.94,-18.25,-13.46,-20.05,-23.44,-16.13
88,-1.19,-3.85,1.0,33.31,29.43,35.98,56.47,51.71,61.98,19.85,12.31,26.37,24.32,22.19,26.74,21.86,17.32,26.6,-5.43,-7.72,-3.67,,,,-16.01,-18.35,-13.56,-20.32,-23.7,-16.43
89,-1.18,-3.81,1.0,33.27,29.44,35.95,56.43,51.72,61.95,19.56,11.91,26.1,24.12,22.04,26.49,21.8,17.37,26.47,-5.47,-7.75,-3.7,,,,-16.07,-18.54,-13.65,-20.59,-23.9,-16.74
90,-1.17,-3.77,1.0,33.23,29.36,35.91,56.39,51.89,61.76,19.25,11.46,25.93,23.93,21.9,26.35,21.74,17.38,26.34,-5.51,-7.79,-3.73,,,,-16.12,-18.67,-13.74,-20.86,-24.1,-17.07
91,-1.15,-3.74,1.0,33.19,29.29,35.85,56.35,51.88,61.72,18.93,11.08,25.68,23.73,21.69,26.15,21.68,17.37,26.22,-5.55,-7.83,-3.77,,,,-16.17,-18.69,-13.82,-21.13,-24.29,-17.43
92,-1.14,-3.71,1.0,33.14,29.2,35.79,56.31,51.8,61.6,18.59,10.83,25.47,23.54,21.55,25.85,21.61,17.34,26.1,-5.59,-7.89,-3.82,,,,-16.21,-18.73,-13.88,-21.4,-24.49,-17.78
93,-1.13,-3.68,1.0,33.08,29.17,35.72,56.27,51.51,61.62,18.24,10.57,25.1,23.35,21.39,25.59,21.55,17.27,26.05,-5.62,-7.92,-3.87,,,,-16.25,-18.75,-13.94,-21.67,-24.68,-18.15
94,-1.11,-3.65,1.0,33.03,29.15,35.65,56.23,51.45,61.58,17.88,10.31,24.76,23.15,21.26,25.44,21.48,17.2,26.0,-5.65,-7.95,-3.89,,,,-16.29,-18.83,-13.96,-21.95,-24.86,-18.51
95,-1.1,-3.6,1.0,32.97,29.15,35.68,56.18,51.37,61.37,17.51,9.81,24.36,22.96,21.12,25.24,21.41,17.13,25.83,-5.68,-7.97,-3.9,,,,-16.32,-18.9,-13.92,-22.22,-25.08,-18.91
96,-1.08,-3.57,1.0,32.91,29.06,35.68,56.14,51.27,61.32,17.12,9.13,23.99,22.78,21.0,25.01,21.34,17.23,25.73,-5.71,-8.0,-3.91,,,,-16.34,-18.95,-13.87,-22.5,-25.28,-19.32
97,-1.07,-3.95,1.0,32.84,28.95,35.56,56.09,51.17,61.3,16.72,8.45,23.76,22.59,20.91,24.78,21.27,17.11,25.83,-5.74,-8.01,-3.92,,,,-16.36,-19.01,-13.87,-22.77,-25.54,-19.66
98,-1.05,-3.94,1.0,32.77,28.81,35.44,56.05,50.99,61.23,16.31,7.77,23.5,22.4,20.81,24.54,21.2,17.04,25.7,-5.76,-8.03,-3.94,,,,-16.38,-19.06,-13.88,-23.05,-25.75,-20.01
99,-1.03,-3.9,1.0,32.69,28.68,35.39,56.0,50.75,61.11,15.89,7.21,23.14,22.22,20.63,24.35,21.12,16.97,25.56,-5.78,-8.07,-3.97,,,,-16.39,-19.07,-13.89,-23.32,-25.96,-20.39
100,-1.01,-3.82,1.0,32.61,28.54,35.27,55.96,50.55,60.99,15.45,6.74,22.66,22.04,20.49,24.13,21.04,16.89,25.45,-5.8,-8.06,-3.99,,,,-16.4,-19.12,-13.9,-23.6,-26.17,-20.73
101,-0.99,-3.72,1.0,32.53,28.41,35.13,55.91,50.46,60.9,15.01,6.29,22.15,21.86,20.36,23.91,20.96,16.79,25.4,-5.81,-8.07,-4.0,,,,-16.4,-19.17,-13.9,-23.88,-26.37,-21.0
102,-0.96,-3.61,1.01,32.44,28.31,34.99,55.86,50.37,60.81,14.56,5.91,21.78,21.68,20.23,23.68,20.88,16.66,25.3,-5.82,-8.07,-4.02,,,,-16.4,-19.19,-13.87,-24.16,-26.56,-21.29
103,-0.94,-3.5,1.01,32.35,28.21,34.9,55.81,50.28,60.78,14.1,5.54,21.42,21.5,20.12,23.45,20.79,16.52,25.23,-5.84,-8.05,-4.03,,,,-16.39,-19.2,-13.83,-24.43,-26.75,-21.56
104,-0.91,-3.42,1.01,32.24,28.12,34.82,55.77,50.2,60.74,13.63,5.16,21.04,21.32,19.9,23.28,20.7,16.39,25.11,-5.84,-8.02,-4.04,,,,-16.38,-19.21,-13.83,-24.71,-26.95,-21.86
105,-0.88,-3.37,1.02,32.14,28.05,34.74,55.72,50.1,60.67,13.15,4.78,20.64,21.14,19.7,23.13,20.6,16.26,25.07,-5.85,-8.03,-4.05,,,,-16.37,-19.21,-13.88,-24.98,-27.19,-22.17
106,-0.85,-3.34,1.02,32.03,27.93,34.68,55.67,49.98,60.62,12.67,3.84,20.24,20.97,19.55,22.89,20.5,16.04,24.82,-5.85,-8.04,-4.07,,,,-16.36,-19.21,-13.83,-25.26,-27.44,-22.48
107,-0.81,-3.3,1.03,31.91,27.79,34.63,55.63,49.88,60.55,12.18,3.34,19.83,20.79,19.46,22.63,20.4,15.86,24.73,-5.85,-8.04,-4.08,,,,-16.34,-19.2,-13.78,-25.53,-27.75,-22.81
108,-0.78,-3.26,1.04,31.78,27.66,34.51,55.58,49.78,60.5,11.68,2.87,19.4,20.62,19.27,22.36,20.29,15.83,24.6,-5.85,-8.05,-4.09,,,,-16.32,-19.18,-13.73,-25.8,-28.08,-23.13
109,-0.74,-3.22,1.05,31.65,27.54,34.36,55.54,49.67,60.47,11.18,2.4,18.98,20.45,19.06,22.16,20.18,15.73,24.46,-5.85,-8.03,-4.08,,,,-16.31,-19.17,-13.69,-26.07,-28.41,-23.46
110,-0.7,-3.21,1.06,31.52,27.38,34.26,55.5,49.58,60.39,10.67,1.92,18.56,20.28,18.79,22.02,20.07,15.61,24.33,-5.85,-8.01,-4.06,,,,-16.29,-19.14,-13.64,-26.33,-28.72,-23.74
111,-0.65,-3.17,1.07,31.38,27.17,34.16,55.46,49.48,60.38,10.16,1.45,18.21,20.11,18.57,21.88,19.95,15.51,24.33,-5.84,-7.99,-4.04,,,,-16.26,-19.12,-13.6,-26.6,-28.99,-24.01
112,-0.61,-3.08,1.09,31.23,26.96,34.06,55.42,49.44,60.36,9.64,0.87,17.88,19.95,18.44,21.72,19.83,15.42,24.14,-5.83,-7.96,-4.02,,,,-16.24,-19.1,-13.65,-26.85,-29.21,-24.28
113,-0.56,-3.04,1.1,31.08,26.75,33.95,55.38,49.45,60.33,9.12,0.3,17.48,19.78,18.3,21.57,19.71,15.31,23.96,-5.82,-7.93,-3.99,,,,-16.22,-19.07,-13.6,-27.11,-29.46,-24.62
