date,pollster,Thatcher approve,Thatcher disapprove,Thatcher net,Major approve,Major disapprove,Major net,Blair approve,Blair disapprove,Blair net,Brown approve,Brown disapprove,Brown net,Cameron approve,Cameron disapprove,Cameron net,May approve,May disapprove,May net,Johnson approve,Johnson disapprove,Johnson net,Truss approve,Truss disapprove,Truss net,Sunak approve,Sunak disapprove,Sunak net,Starmer approve,Starmer disapprove,Starmer net
1979-06-13,Gallup,41.0,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-11,Gallup,41.0,47.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-08,Gallup,45.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-12,Gallup,45.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-10,Gallup,46.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-07,Gallup,48.0,44.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-04,Gallup,40.0,51.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-09,Gallup,39.0,54.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-06,Gallup,37.0,55.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-11,Gallup,38.0,56.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-10,Gallup,41.0,54.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-15,Gallup,44.0,51.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-06-11,Gallup,43.0,52.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-10,Gallup,41.0,51.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-14,Gallup,41.0,54.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09-10,Gallup,37.0,58.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-15,Gallup,38.0,56.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-12,Gallup,34.0,60.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-10,Gallup,35.0,59.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-14,Gallup,31.0,63.0,-32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-11,Gallup,34.0,60.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-12,Gallup,30.0,64.0,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-08,Gallup,30.0,65.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-06,Gallup,35.0,65.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-10,Gallup,33.0,61.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-08,Gallup,30.0,65.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-12,Gallup,28.0,66.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-09,Gallup,32.0,62.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-21,Gallup,33.0,62.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-11,Gallup,28.0,66.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-09,Gallup,25.0,70.0,-45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-13,Gallup,32.0,65.0,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-10,Gallup,29.0,66.0,-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-11,Gallup,34.0,62.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-07,Gallup,35.0,60.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-05-05,Gallup,44.0,51.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-09,Gallup,51.0,44.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-07,Gallup,52.0,43.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-08-11,Gallup,49.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-08,Gallup,48.0,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-20,Gallup,46.0,50.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
