date,Thatcher approve,Thatcher disapprove,Thatcher net,Major approve,Major disapprove,Major net,Blair approve,Blair disapprove,Blair net,Brown approve,Brown disapprove,Brown net,Cameron approve,Cameron disapprove,Cameron net,May approve,May disapprove,May net,Johnson approve,Johnson disapprove,Johnson net,Truss approve,Truss disapprove,Truss net,Sunak approve,Sunak disapprove,Sunak net,Starmer approve,Starmer disapprove,Starmer net
1979-06-13,43.18,44.0,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-20,43.32,44.05,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-27,43.45,44.11,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-04,43.56,44.18,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-11,43.65,44.26,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-18,43.72,44.35,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-25,43.77,44.46,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-01,43.8,44.59,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-08,43.82,44.73,-0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-15,43.81,44.9,-1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-22,43.79,45.09,-1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-29,43.76,45.3,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-05,43.7,45.53,-1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-12,43.64,45.78,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-19,43.56,46.04,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-26,43.47,46.33,-2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-03,43.37,46.63,-3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-10,43.26,46.94,-3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-17,43.14,47.27,-4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-24,43.02,47.6,-4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-31,42.88,47.95,-5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-07,42.74,48.29,-5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-14,42.59,48.64,-6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-21,42.44,48.98,-6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-28,42.28,49.31,-7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-05,42.12,49.63,-7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-12,41.96,49.94,-7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-19,41.8,50.24,-8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
