date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),PC (19-24),PC (19-24) (low),PC (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),SNP (19-24),SNP (19-24) (low),SNP (19-24) (high),Ukip (19-24),Ukip (19-24) (low),Ukip (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,19.0,10.0,1.0,45.0,1.0
2020-01-05,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,1.0,1.0,1.0,10.0,10.0,10.0,19.0,19.0,19.0,,,,,,,45.0,45.0,45.0,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,25.0,25.0,27.0,1.0,1.0,3.0,10.0,5.0,10.0,19.0,16.0,19.0,,,,,,,45.0,45.0,48.0,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,25.0,25.0,27.0,1.0,1.0,3.0,10.0,5.0,10.0,19.0,16.0,19.0,,,,,,,45.0,45.0,48.0,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,25.0,25.0,27.0,1.0,1.0,3.0,9.99,5.0,10.0,18.99,16.0,19.0,,,,,,,45.01,45.0,48.0,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,25.01,25.0,27.0,1.01,1.0,3.0,9.98,5.0,10.0,18.99,16.0,19.0,,,,,,,45.01,45.0,48.0,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,25.02,25.0,27.0,1.02,1.0,3.0,9.95,5.0,9.99,18.97,16.0,19.0,,,,,,,45.03,45.0,48.0,,,,,,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,25.03,25.0,27.0,1.03,1.01,3.0,9.92,5.0,9.99,18.95,16.0,18.99,,,,,,,45.05,45.01,48.0,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,25.05,25.01,27.0,1.05,1.01,3.0,9.87,5.0,9.98,18.92,16.0,18.99,,,,,,,45.08,45.01,48.0,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,25.08,25.01,27.0,1.08,1.02,3.0,9.8,5.0,9.97,18.88,16.0,18.98,,,,,,,45.12,45.02,48.0,,,,,,,,,
