Party,Latest poll,2024 general election,Change
Con,15.34,24,-8.7
Lab,23.92,35,-11.1
LDem,8.71,13,-4.3
Grn,16.46,7,+9.5
Reform,29.92,15,+14.9
Other,5.6,6,-0.4
