Party,Latest poll,2024 general election,Change
Con,21.23,24,-2.8
Lab,12.73,35,-22.3
LDem,20.26,13,+7.3
Grn,13.85,7,+6.8
Reform,26.89,15,+11.9
Other,5.0,6,-1.0
