Party,Latest poll,2024 general election,Change
Con,21.47,24,-2.5
Lab,27.14,35,-7.9
LDem,13.04,13,+0.0
Grn,20.75,7,+13.8
Reform,13.75,15,-1.2
Other,3.8,6,-2.2
