Party,Latest poll,2024 general election,Change
Con,20.28,24,-3.7
Lab,12.36,35,-22.6
LDem,20.54,13,+7.5
Grn,14.83,7,+7.8
Reform,26.56,15,+11.6
Other,5.4,6,-0.6
