Party,Latest poll,2024 general election,Change
Con,12.0,24,-12.0
Lab,15.0,35,-20.0
LDem,6.0,13,-7.0
Grn,9.0,7,+2.0
PC,31.0,n/a,n/a
Reform,27.0,15,+12.0
