Party,Latest poll,2024 general election,Change
Con,18.0,24,-6.0
Lab,17.0,35,-18.0
LDem,14.0,13,+1.0
Grn,15.0,7,+8.0
Reform,25.0,15,+10.0
Other,11.0,6,+5.0
