Party,Latest poll,2024 GE (Wales),Change
Con,10.69,18.2,-7.5
Lab,14.44,37.0,-22.6
LDem,3.97,6.5,-2.5
Grn,7.76,4.7,+3.1
Reform,28.74,16.9,+11.8
PC,32.74,14.8,+17.9
