Party,Latest poll,2024 general election,Change
Con,14.0,24,-10.0
Lab,22.0,35,-13.0
LDem,9.0,13,-4.0
Grn,17.0,7,+10.0
Reform,31.0,15,+16.0
Other,7.0,6,+1.0
