Party,Latest poll,2024 general election,Change
Con,10.0,24,-14.0
Lab,19.0,35,-16.0
LDem,8.0,13,-5.0
Grn,7.0,7,+0.0
SNP,31.0,n/a,n/a
Reform,21.0,15,+6.0
