Party,Latest poll,2024 general election,Change
Con,23.11,24,-0.9
Lab,18.74,35,-16.3
LDem,8.96,13,-4.0
Grn,14.82,7,+7.8
Reform,27.91,15,+12.9
Other,6.5,6,+0.5
