Party,Latest poll,2024 GE (Scotland),Change
Con,16.0,12.7,+3.3
Lab,4.0,35.3,-31.3
LDem,3.33,4.7,-1.4
Grn,3.0,5.5,-2.5
Reform,10.0,7.1,+2.9
SNP,14.0,29.9,-15.9
