Party,Latest poll,2024 general election,Change
Con,16.38,24,-7.6
Lab,9.12,35,-25.9
LDem,6.0,13,-7.0
Grn,10.39,7,+3.4
Reform,17.5,15,+2.5
Other,40.6,6,+34.6
