Party,Latest poll,2024 GE (Wales),Change
Con,13.0,18.2,-5.2
Lab,7.0,37.0,-30.0
LDem,4.0,6.5,-2.5
Grn,3.0,4.7,-1.7
Reform,17.0,16.9,+0.1
PC,12.0,14.8,-2.8
