Party,Latest poll,2024 general election,Change
Con,27.49,24,+3.5
Lab,10.26,35,-24.7
LDem,4.52,13,-8.5
Grn,2.45,7,-4.5
Reform,18.05,15,+3.1
Other,35.5,6,+29.5
