Party,Latest poll,2024 general election,Change
Con,15.12,24,-8.9
Lab,9.73,35,-25.3
LDem,3.54,13,-9.5
Grn,6.07,7,-0.9
Reform,13.81,15,-1.2
Other,51.7,6,+45.7
